ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
35.09,9.62,15.42,25.82,-13.16,-46.32,Set needle
34.65,10.42,17.19,26.03,-12.79,-44.88,Set needle
34.26,11.59,18.29,23.5,-11.16,-42.89,Set needle
34.12,10.41,16.86,25.39,-12.8,-48.92,Set needle
31.48,10.97,14.32,24.94,-12.67,-49.95,Set needle
31.16,10.46,13.38,23.31,-11.64,-46.46,Set needle
32.87,10.51,16.21,23.3,-11.43,-47.67,Set needle
31.43,9.06,12.42,20.43,-10.25,-43.81,Set needle
30.89,9.17,11.47,23.72,-12.23,-56.08,Set needle
31.77,10.81,14.41,21.11,-9.35,-49.68,Set needle
32.23,10.71,14.96,19.65,-7.35,-45.54,Set needle
33.74,10.67,17.31,16.89,-7.57,-40.7,Set needle
33.27,9.0,14.73,19.33,-6.31,-45.7,Set needle
32.33,8.97,13.94,17.62,-6.19,-43.21,Set needle
31.35,7.62,10.71,20.92,-6.58,-49.56,Set needle
32.47,7.28,11.95,20.74,-5.95,-47.12,Set needle
33.25,7.4,13.09,20.17,-5.87,-43.31,Set needle
32.51,6.93,11.44,18.76,-5.43,-37.12,Set needle
31.52,6.35,8.74,21.36,-6.73,-38.97,Set needle
32.84,7.35,11.78,20.98,-6.92,-37.1,Set needle
32.65,7.39,11.34,22.89,-7.91,-40.32,Set needle
26.1,-55.48,-87.41,24.08,-12.26,-46.42,Set needle
35.35,8.22,15.46,21.46,-8.83,-32.86,Set needle
30.64,7.23,7.89,21.61,-8.94,-32.64,Set needle
35.56,8.25,16.19,21.89,-8.66,-32.52,Set needle
33.16,6.75,10.81,17.55,-9.07,-27.06,Set needle
34.48,5.54,11.6,18.43,-8.72,-30.95,Set needle
33.76,4.81,9.51,18.97,-5.98,-30.39,Set needle
33.38,4.67,9.0,20.03,-5.32,-31.66,Set needle
34.0,4.48,9.37,19.35,-3.85,-27.43,Set needle
34.82,4.18,10.45,19.73,-2.23,-23.91,Set needle
35.88,3.99,11.56,22.15,-2.71,-28.03,Set needle
35.6,5.67,13.17,21.22,-1.98,-23.54,Set needle
36.2,5.93,13.93,26.94,-8.03,-44.94,Set needle
34.1,5.41,10.16,23.33,-3.61,-25.4,Set needle
36.49,6.28,14.06,23.0,-3.49,-22.97,Set needle
36.38,7.53,15.13,24.25,-4.94,-26.37,Set needle
36.47,6.26,13.48,23.94,-5.67,-26.32,Set needle
35.35,5.44,10.91,26.1,-8.06,-32.13,Set needle
35.78,5.42,11.63,24.15,-8.8,-25.49,Set needle
36.2,5.37,12.23,27.29,-14.01,-40.63,Set needle
36.12,4.31,11.07,26.96,-15.43,-41.24,Set needle
35.65,6.25,12.94,27.56,-19.39,-47.26,Set needle
35.95,6.19,13.27,26.22,-19.21,-44.4,Set needle
35.45,5.73,12.12,26.26,-19.99,-47.6,Set needle
34.27,5.98,10.74,24.38,-18.28,-43.4,Set needle
33.27,5.08,8.19,20.38,-16.06,-32.56,Set needle
33.74,5.15,8.88,20.94,-14.03,-29.96,Set needle
35.69,6.54,13.26,20.98,-12.15,-27.19,Set needle
34.75,5.68,11.04,20.78,-11.54,-25.47,Set needle
34.9,5.36,10.86,22.05,-10.97,-27.32,Set needle
34.68,6.16,11.21,21.79,-9.61,-23.65,Set needle
36.31,6.37,13.79,23.48,-9.27,-25.3,Set needle
34.77,5.79,10.79,25.7,-9.05,-26.53,Set needle
35.68,5.13,11.17,25.52,-11.58,-30.43,Set needle
35.74,5.43,11.77,24.55,-10.95,-26.57,Set needle
35.36,5.67,11.3,25.97,-10.29,-29.13,Set needle
35.02,5.23,10.01,21.94,-9.24,-18.65,Set needle
35.96,5.26,11.11,23.25,-9.73,-23.34,Set needle
35.58,4.93,10.07,23.57,-8.84,-22.88,Set needle
35.67,5.66,10.97,23.82,-8.55,-24.25,Set needle
37.3,6.24,13.77,23.97,-7.59,-25.73,Set needle
36.97,6.66,14.07,23.51,-7.55,-25.7,Set needle
36.33,5.22,10.96,26.89,-7.84,-35.17,Set needle
37.82,7.0,15.03,23.63,-5.79,-27.33,Set needle
36.9,6.25,12.84,24.52,-5.85,-31.67,Set needle
