ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
55.75,18.86,-28.57,-5.39,-58.49,-97.89,Seek needle
53.93,18.14,-29.01,-5.54,-58.08,-97.94,Seek needle
51.75,17.22,-28.8,-5.26,-57.1,-98.96,Seek needle
52.27,17.84,-25.98,-5.34,-54.53,-98.31,Seek needle
50.96,18.17,-25.34,-4.25,-52.44,-99.11,Seek needle
49.68,20.18,-23.38,-4.82,-50.01,-96.7,Seek needle
48.78,19.14,-24.1,-5.16,-48.74,-94.99,Seek needle
49.33,20.04,-22.1,-6.03,-47.02,-92.23,Seek needle
49.27,19.42,-21.47,-6.63,-45.96,-92.47,Seek needle
48.86,19.77,-20.07,-27.32,-84.55,-164.76,Seek needle
47.9,20.11,-19.79,-29.15,-83.49,-162.36,Seek needle
47.44,19.12,-20.77,-8.71,-45.32,-91.66,Seek needle
47.02,19.51,-21.92,-27.02,-86.07,-165.67,Seek needle
47.25,23.6,-18.8,-28.14,-84.2,-163.59,Seek needle
46.5,24.41,-20.44,-28.57,-84.54,-163.52,Seek needle
30.87,-51.16,-101.78,-27.72,-85.54,-165.3,Seek needle
33.91,-50.87,-105.5,-6.94,-48.03,-97.19,Seek needle
34.29,-50.27,-103.27,-6.49,-48.59,-99.21,Seek needle
35.94,-49.58,-105.81,-4.85,-49.41,-102.84,Seek needle
38.12,-49.17,-105.99,-4.46,-50.65,-106.29,Seek needle
39.12,-47.5,-107.17,-6.63,-52.5,-107.58,Seek needle
59.27,26.81,-25.01,-6.46,-56.25,-111.43,Seek needle
58.59,25.43,-25.59,-11.86,-56.39,-105.37,Seek needle
58.55,28.59,-20.97,-16.81,-54.28,-100.72,Seek needle
58.28,28.56,-20.8,-18.38,-55.05,-99.8,Seek needle
54.75,24.62,-27.34,-23.46,-56.25,-95.65,Seek needle
52.32,24.89,-30.16,-30.29,-59.92,-90.65,Seek needle
53.9,28.15,-26.84,-35.33,-62.89,-86.85,Seek needle
55.01,28.16,-26.59,-14.69,-60.98,-106.09,Seek needle
53.74,28.13,-28.1,-39.04,-68.51,-84.92,Seek needle
50.5,25.24,-33.08,-46.68,-75.92,-83.08,Seek needle
52.32,26.17,-31.79,-40.18,-73.61,-86.28,Seek needle
53.99,29.82,-27.48,-25.33,-89.63,-156.82,Seek needle
50.29,29.15,-29.9,-46.73,-79.81,-87.51,Seek needle
53.87,29.9,-25.17,-46.93,-79.69,-87.31,Seek needle
54.19,31.82,-22.74,-35.1,-82.83,-150.41,Seek needle
59.12,37.19,-13.79,-26.56,-89.17,-154.73,Seek needle
55.84,30.45,-21.58,-47.52,-79.64,-86.48,Seek needle
56.28,34.87,-17.65,-47.58,-79.71,-86.38,Seek needle
57.8,34.98,-15.71,-47.53,-80.14,-86.89,Seek needle
55.35,31.49,-21.33,-47.39,-79.74,-86.82,Seek needle
53.97,31.16,-23.75,-48.09,-80.01,-85.89,Seek needle
57.5,34.63,-19.15,-38.82,-86.71,-100.81,Seek needle
55.99,34.64,-23.31,-78.48,-84.69,-19.46,Seek needle
40.65,27.2,-36.65,0.59,-94.36,-149.17,Seek needle
39.25,24.13,-36.8,-30.82,-89.22,-111.88,Seek needle
39.53,26.35,-32.32,-37.26,-78.8,-93.98,Seek needle
37.47,27.3,-30.72,-34.69,-74.12,-94.53,Seek needle
35.77,24.8,-31.96,-17.4,-61.95,-103.25,Seek needle
37.59,26.69,-27.51,-7.84,-60.33,-111.95,Seek needle
35.7,24.65,-30.8,-4.4,-60.4,-112.49,Seek needle
34.66,21.54,-34.5,-2.25,-60.67,-110.07,Seek needle
31.27,19.24,-39.6,-0.56,-60.63,-107.26,Seek needle
34.13,22.46,-34.4,-0.01,-60.04,-104.4,Seek needle
35.33,24.34,-31.11,1.26,-60.26,-105.09,Seek needle
32.24,22.17,-35.15,3.71,-61.05,-105.67,Seek needle
34.7,24.58,-30.47,6.01,-61.32,-105.17,Seek needle
34.19,23.04,-31.66,6.41,-59.84,-100.41,Seek needle
33.58,21.82,-33.16,7.13,-57.84,-94.25,Seek needle
32.21,20.21,-36.62,-24.11,-84.44,-162.16,Seek needle
33.75,23.9,-33.83,-20.25,-88.71,-168.02,Seek needle
36.11,23.92,-33.29,-25.66,-82.15,-156.93,Seek needle
36.57,24.24,-34.21,-26.46,-79.63,-150.83,Seek needle
38.67,23.19,-33.75,-26.25,-78.6,-148.29,Seek needle
40.87,22.64,-32.76,-24.23,-81.22,-157.43,Seek needle
45.79,23.15,-28.29,-20.53,-86.49,-165.53,Seek needle
47.25,20.07,-29.19,15.33,-45.59,-90.31,Seek needle
48.85,19.04,-27.78,15.23,-43.63,-89.66,Seek needle
51.85,18.99,-22.44,14.94,-41.48,-89.15,Seek needle
49.36,17.26,-23.53,16.13,-41.62,-92.98,Seek needle
50.16,17.33,-19.99,16.24,-39.86,-91.72,Seek needle
49.29,15.46,-19.11,15.78,-36.45,-88.08,Seek needle
48.17,12.4,-19.56,16.86,-35.99,-92.66,Seek needle
48.84,11.47,-17.23,16.14,-34.66,-92.51,Seek needle
48.72,8.98,-16.66,15.23,-33.22,-91.31,Seek needle
49.45,6.31,-15.94,14.35,-30.78,-89.3,Seek needle
46.55,5.91,-19.15,13.65,-30.87,-90.32,Seek needle
45.94,3.92,-21.47,13.25,-29.07,-87.96,Seek needle
47.2,3.2,-21.22,13.24,-29.14,-88.58,Seek needle
46.83,-0.04,-24.91,12.86,-28.28,-87.08,Seek needle
48.92,0.61,-21.85,13.04,-28.66,-87.65,Seek needle
51.02,0.49,-19.26,12.26,-28.41,-86.15,Seek needle
51.63,0.72,-18.47,12.3,-28.0,-84.49,Seek needle
51.33,0.77,-19.39,12.35,-28.64,-84.31,Seek needle
52.05,0.97,-18.98,12.2,-29.28,-82.29,Seek needle
52.19,1.86,-18.75,13.19,-30.13,-80.43,Seek needle
52.04,1.18,-19.65,13.15,-30.52,-76.53,Seek needle
53.53,1.72,-17.65,12.53,-30.65,-71.67,Seek needle
51.25,1.85,-20.58,12.49,-30.6,-69.0,Seek needle
50.51,1.29,-22.38,14.0,-31.59,-72.29,Seek needle
49.75,1.27,-23.9,12.38,-30.21,-66.37,Seek needle
53.2,2.29,-19.56,14.64,-31.37,-72.79,Seek needle
56.15,3.74,-15.38,14.9,-31.85,-75.32,Seek needle
53.33,2.62,-19.34,14.63,-31.48,-74.69,Seek needle
52.98,3.76,-19.16,14.7,-31.11,-74.81,Seek needle
54.87,4.79,-16.72,14.67,-29.53,-74.35,Seek needle
55.32,5.7,-15.6,14.77,-29.48,-76.22,Seek needle
52.92,6.19,-17.57,13.88,-27.31,-72.89,Seek needle
51.92,4.12,-20.07,13.98,-25.24,-72.72,Seek needle
54.18,6.64,-14.46,14.65,-25.04,-74.81,Seek needle
54.28,7.45,-13.27,14.97,-24.46,-74.63,Seek needle
51.65,5.03,-17.54,14.19,-23.07,-72.66,Seek needle
52.67,5.89,-15.38,14.79,-22.9,-74.25,Seek needle
50.51,4.3,-18.99,16.25,-20.9,-73.44,Seek needle
51.21,5.44,-17.36,16.39,-19.35,-70.52,Seek needle
50.42,5.97,-18.03,17.35,-20.18,-73.75,Seek needle
50.4,6.64,-17.68,17.73,-19.29,-75.43,Seek needle
48.93,6.13,-20.12,18.22,-17.41,-73.2,Seek needle
49.55,6.02,-19.59,17.37,-16.48,-70.09,Seek needle
48.97,8.83,-17.8,17.47,-17.01,-71.85,Seek needle
49.45,9.02,-17.3,16.61,-15.54,-68.4,Seek needle
48.65,8.48,-19.07,16.59,-15.39,-68.89,Seek needle
46.98,8.35,-21.96,17.01,-15.24,-70.95,Seek needle
48.04,9.24,-20.14,16.99,-14.98,-71.53,Seek needle
50.0,10.98,-16.81,17.27,-15.05,-72.01,Seek needle
49.12,9.84,-18.5,18.6,-14.45,-72.65,Seek needle
49.2,9.47,-18.36,17.19,-13.96,-68.69,Seek needle
48.51,9.24,-19.19,17.1,-14.67,-69.9,Seek needle
