ylw_x,ylw_y,ylw_z,blu_x,blu_y,blu_z,labels
43.66,-5.29,-42.75,29.7,29.45,-17.45,Grasp needle
43.46,-5.53,-43.1,27.2,29.38,-12.7,Grasp needle
43.32,-5.2,-42.99,27.15,29.47,-12.31,Grasp needle
43.47,-4.61,-42.65,29.2,30.05,-15.44,Grasp needle
43.13,-4.63,-43.24,26.76,29.63,-13.02,Grasp needle
42.87,-5.0,-43.91,24.89,29.19,-11.26,Grasp needle
42.73,-5.4,-44.74,24.84,30.5,-8.73,Grasp needle
43.43,-4.4,-43.02,25.75,29.77,-12.36,Grasp needle
42.87,-4.97,-44.08,24.59,29.74,-9.85,Grasp needle
42.41,-5.9,-45.12,26.18,31.91,-10.36,Grasp needle
42.68,-5.23,-44.46,25.86,30.76,-11.35,Grasp needle
42.85,-6.39,-45.47,25.74,31.19,-10.61,Grasp needle
42.7,-5.8,-45.19,25.14,30.79,-9.99,Grasp needle
43.18,-5.16,-44.24,26.85,31.05,-12.48,Grasp needle
43.29,-4.26,-43.33,26.38,30.47,-12.48,Grasp needle
43.39,-4.15,-43.35,25.45,30.18,-11.35,Grasp needle
42.9,-3.87,-43.92,24.92,29.63,-10.89,Grasp needle
41.48,-4.59,-46.11,26.38,28.88,-13.88,Grasp needle
42.04,-3.31,-44.75,26.05,28.67,-13.81,Grasp needle
41.69,-4.09,-45.86,28.21,28.63,-17.59,Grasp needle
38.48,-6.12,-50.89,26.31,28.93,-13.93,Grasp needle
38.57,-5.15,-50.06,24.97,28.19,-12.12,Grasp needle
38.86,-4.52,-49.2,24.9,26.34,-13.99,Grasp needle
36.96,-5.14,-51.8,24.47,27.62,-11.26,Grasp needle
37.79,-3.86,-50.02,24.58,25.64,-14.16,Grasp needle
36.94,-4.01,-51.16,24.14,26.71,-11.52,Grasp needle
37.96,-3.4,-49.63,23.13,26.91,-8.87,Grasp needle
37.84,-2.47,-48.99,25.6,26.48,-13.44,Grasp needle
37.98,-2.27,-48.45,24.17,27.22,-8.63,Grasp needle
38.65,-2.21,-47.56,24.42,27.05,-9.33,Grasp needle
38.02,-2.41,-48.42,24.27,26.22,-10.2,Grasp needle
38.49,-2.28,-47.92,24.51,27.08,-9.03,Grasp needle
38.67,-1.44,-47.03,27.08,26.1,-12.8,Grasp needle
38.54,-2.72,-48.21,29.7,24.11,-17.26,Grasp needle
38.51,-2.79,-48.51,27.56,25.05,-10.59,Grasp needle
38.55,-2.09,-47.81,26.81,24.65,-9.71,Grasp needle
38.44,-1.84,-47.83,29.52,22.21,-14.61,Grasp needle
38.19,-0.99,-47.26,32.86,19.45,-19.78,Grasp needle
38.94,-0.41,-45.66,33.92,19.39,-17.42,Grasp needle
37.18,-0.95,-47.62,33.67,20.13,-14.83,Set needle
38.48,-0.59,-45.32,33.37,19.48,-15.21,Set needle
38.32,-1.08,-45.71,33.23,20.94,-11.48,Set needle
38.62,-0.69,-45.1,34.34,19.17,-16.45,Set needle
38.15,-1.14,-45.92,34.98,17.26,-16.96,Set needle
37.54,-1.53,-46.9,35.87,17.29,-15.07,Set needle
36.66,-3.26,-48.9,33.87,17.86,-11.12,Set needle
36.53,-2.65,-48.59,34.36,18.15,-11.34,Set needle
35.32,-3.68,-50.6,34.0,16.02,-15.02,Set needle
36.13,-2.58,-48.89,32.52,16.72,-10.71,Set needle
36.3,-2.65,-48.76,32.97,15.46,-15.3,Set needle
35.89,-3.1,-49.43,31.12,16.93,-13.81,Set needle
35.97,-2.83,-49.24,31.11,16.87,-14.09,Set needle
37.2,-1.94,-47.44,28.82,15.36,-16.12,Set needle
36.33,-3.12,-49.62,29.44,17.47,-17.76,Set needle
35.53,-3.92,-51.74,29.24,18.49,-17.23,Set needle
38.73,-1.71,-47.11,25.89,23.44,-10.09,Set needle
39.25,-0.78,-46.7,22.06,20.89,-16.42,Set needle
39.66,-2.61,-48.29,26.08,20.11,-21.19,Set needle
39.17,-2.28,-49.05,28.66,18.03,-22.35,Set needle
40.79,-1.88,-47.39,30.69,17.05,-20.7,Set needle
44.18,0.64,-41.79,30.86,21.85,-11.76,Set needle
42.15,0.97,-43.65,31.8,16.95,-24.4,Set needle
43.46,2.2,-41.35,29.1,20.12,-13.92,Set needle
44.31,5.09,-37.85,31.04,20.96,-14.59,Set needle
